"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","LLC_BI__Category__c","LLC_BI__lookupKey__c"
"a3YDm000000Gu9CMAS","005Dm000000nnayIAA","","Total Assets Growth","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Ratios/Stats)","Total_Assets_Growth_ACCTGRD"
"a3YDm000000Gu9DMAS","005Dm000000nnayIAA","","Net Profit Growth","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Ratios/Stats)","Net_Profit_Growth_ACCTGRD"
"a3YDm000000Gu9EMAS","005Dm000000nnayIAA","","Net Worth Growth","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Ratios/Stats)","Net_Worth_Growth_ACCTGRD"
"a3YDm000000Gu9FMAS","005Dm000000nnayIAA","","Net Sales Growth","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Ratios/Stats)","Net_Sales_Growth_ACCTGRD"
"a3YDm000000Gu9GMAS","005Dm000000nnayIAA","","Operating Profit Growth","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Ratios/Stats)","Operating_Profit_Growth_ACCTGRD"
"a3YDm000000Gu9HMAS","005Dm000000nnayIAA","","Adj to Retained Earn. - Prior Period Adj","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Other)","Adj_to_Retained_Earn_Prior_Period_Adj_ACCTGRD"
"a3YDm000000Gu9IMAS","005Dm000000nnayIAA","","Sustainable Growth","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Ratios/Stats)","Sustainable_Growth_ACCTGRD"
"a3YDm000000Gu9JMAS","005Dm000000nnayIAA","","Adj to Retained Earn. - Dividends","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Other)","Adj_to_Retained_Earn_Dividends_ACCTGRD"
"a3YDm000000Gu9KMAS","005Dm000000nnayIAA","","Inventory","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Balance Sheet)","Inventory_ACCTGRD"
"a3YDm000000Gu9LMAS","005Dm000000nnayIAA","","Inventory","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","RMA Benchmarking","inventory"
"a3YDm000000Gu9MMAS","005Dm000000nnayIAA","","LIFO Reserve","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Balance Sheet)","LIFO_Reserve_ACCTGRD"
"a3YDm000000Gu9NMAS","005Dm000000nnayIAA","","Non-Cash Expense","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Income Statement)","NonCash_Expense_ACCTGRD"
"a3YDm000000Gu9OMAS","005Dm000000nnayIAA","","Current Income Tax","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Income Statement)","Current_Income_Tax_ACCTGRD"
"a3YDm000000Gu9PMAS","005Dm000000nnayIAA","","Income Taxes","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","RMA Benchmarking","income_taxes"
"a3YDm000000Gu9QMAS","005Dm000000nnayIAA","","Deferred Income Tax","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Income Statement)","Deferred_Income_Tax_ACCTGRD"
"a3YDm000000Gu9RMAS","005Dm000000nnayIAA","","Sch. F - Other Interest Expense","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Individual)","Sch_F_Other_Interest_Expense_ACCTGRD"
"a3YDm000000Gu9SMAS","005Dm000000nnayIAA","","Rental Income","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","NOI Statement","rental_income"
"a3YDm000000Gu9TMAS","005Dm000000nnayIAA","","Other Income","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","NOI Statement","other_income"
"a3YDm000000Gu9UMAS","005Dm000000nnayIAA","","CRE Operating Expenses","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","NOI Statement","operating_expenses"
"a3YDm000000Gu9VMAS","005Dm000000nnayIAA","","Debt Service","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","NOI Statement","debt_service"
"a3YDm000000Gu9WMAS","005Dm000000nnayIAA","","Vacancy Rate","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","NOI Statement","vacancy_rate"
"a3YDm000000Gu9XMAS","005Dm000000nnayIAA","","Total Vacancy Amount","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","NOI Statement","total_vacancy_amount"
