"Id","IsDeleted","Name","SetupOwnerId","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LLC_BI__Category_Name__c","LLC_BI__Is_Active__c","LLC_BI__Key__c","LLC_BI__Value__c","LLC_BI__Description__c"
"a1DDm000000kUq7MAE","","Contact Fax Number","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","HMDA","true","Contact_Fax_Number","","This field is the contact person's Fax number at the Financial Institution who may be contacted with questions about the Financial Institution's HMDA submission."
"a1DDm000000kUq8MAE","","Parent Zip","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","HMDA","true","Parent_Zip","","If respondent is a mortgage banking subsidiary (MBS) or a non-depository institution that has an affiliation with a depository institution, this field indicates the ZIP code of the Parent Financial Institution submitting the HMDA data."
"a1DDm000000kUq9MAE","","Contact Name","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","HMDA","true","Contact_Name","","This field is the contact person's name at the Financial Institution who may be contacted with questions about the Financial Institution's HMDA submission."
"a1DDm000000kUqAMAU","","Contact Phone Number","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","HMDA","true","Contact_Phone_Number","","This field is the contact person's phone number at the Financial Institution who may be contacted with questions about the Financial Institution's HMDA submission."
"a1DDm000000kUqBMAU","","Contact Email","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","HMDA","true","Contact_Email","","This field is the contact person's Email address at the Financial Institution who may be contacted with questions about the Financial Institution's HMDA submission."
"a1DDm000000kUqCMAU","","Contact Street Address","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","HMDA","true","Contact_Street_Address","","This field is the contact person's Street Address at the Financial Institution who may be contacted with questions about the Financial Institution's HMDA submission."
"a1DDm000000kUqDMAU","","Contact City","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","HMDA","true","Contact_City","","This field is the contact person's City at the Financial Institution who may be contacted with questions about the Financial Institution's HMDA submission."
"a1DDm000000kUqEMAU","","Contact State","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","HMDA","true","Contact_State","","This field is the contact person's 2 character State at the Financial Institution who may be contacted with questions about the Financial Institution's HMDA submission. For example, for North Carolina enter NC."
"a1DDm000000kUqFMAU","","Legal Entity Identifier","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","HMDA","true","LEI","","This field indicates the 20 character Financial Institutions Legal Entity Identifier."
"a1DDm000000kUqGMAU","","Contact Zip","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","HMDA","true","Contact_Zip","","This field is the contact person's ZIP at the Financial Institution who may be contacted with questions about the Financial Institution's HMDA submission."
